Date,Value
06/01/2009,3681
05/29/2009,3494
05/28/2009,3298
05/27/2009,3164
05/26/2009,2942
05/22/2009,2786
05/21/2009,2665
05/20/2009,2665
05/19/2009,2644
05/18/2009,2605
05/15/2009,2544
05/14/2009,2432
05/13/2009,2332
05/12/2009,2253
05/11/2009,2215
05/08/2009,2214
05/07/2009,2194
05/06/2009,2065
05/05/2009,1897
05/01/2009,1806
04/30/2009,1786
04/29/2009,1772
04/28/2009,1790
04/27/2009,1839
04/24/2009,1873
04/23/2009,1897
04/22/2009,1869
04/21/2009,1797
04/20/2009,1737
04/17/2009,1682
04/16/2009,1604
04/15/2009,1534
04/14/2009,1492
04/09/2009,1478
04/08/2009,1463
04/07/2009,1466
04/06/2009,1486
04/03/2009,1506
04/02/2009,1538
04/01/2009,1574
03/31/2009,1615
03/30/2009,1646
03/27/2009,1678
03/26/2009,1714
03/25/2009,1740
03/24/2009,1758
03/23/2009,1773
03/20/2009,1782
03/19/2009,1795
03/18/2009,1861
03/17/2009,1974
03/16/2009,2058
03/13/2009,2122
03/12/2009,2201
03/11/2009,2271
03/10/2009,2298
03/09/2009,2262
03/06/2009,2225
03/05/2009,2167
03/04/2009,2084
03/03/2009,2034
03/02/2009,2014
02/27/2009,1986
02/26/2009,1950
02/25/2009,1960
02/24/2009,2010
02/23/2009,2084
02/20/2009,2099
02/19/2009,2057
02/18/2009,1986
02/17/2009,1895
02/16/2009,1846
02/13/2009,1908
02/12/2009,1989
02/11/2009,2055
02/10/2009,1974
02/09/2009,1815
02/06/2009,1642
02/05/2009,1498
02/04/2009,1316
02/03/2009,1148
02/02/2009,1099
01/30/2009,1070
01/29/2009,1036
01/28/2009,1014
01/27/2009,1004
01/26/2009,995
01/23/2009,980
01/22/2009,945
01/21/2009,900
01/20/2009,872
01/19/2009,868
01/16/2009,881
01/15/2009,908
01/14/2009,920
01/13/2009,911
01/12/2009,889
01/09/2009,872
01/08/2009,821
01/07/2009,789
01/06/2009,775
01/05/2009,772
01/02/2009,773
12/24/2008,774
12/23/2008,784
12/22/2008,801
12/19/2008,818
12/18/2008,829
12/17/2008,836
12/16/2008,828
12/15/2008,803
12/12/2008,764
12/11/2008,711
12/10/2008,691
12/09/2008,679
12/08/2008,671
12/05/2008,663
12/04/2008,666
12/03/2008,672
12/02/2008,684
12/01/2008,700
11/28/2008,715
11/27/2008,733
11/26/2008,763
11/25/2008,804
11/24/2008,824
11/21/2008,836
11/20/2008,847
11/19/2008,859
11/18/2008,865
11/17/2008,856
11/14/2008,841
11/13/2008,838
11/12/2008,824
11/11/2008,818
11/10/2008,820
11/07/2008,829
11/06/2008,839
11/05/2008,826
11/04/2008,815
11/03/2008,827
10/31/2008,851
10/30/2008,885
10/29/2008,925
10/28/2008,982
10/27/2008,1048
10/24/2008,1102
10/23/2008,1149
10/22/2008,1221
10/21/2008,1292
10/20/2008,1355
10/17/2008,1438
10/16/2008,1506
10/15/2008,1615
10/14/2008,1809
10/13/2008,1976
10/10/2008,2221
10/09/2008,2503
10/08/2008,2764
10/07/2008,2922
10/06/2008,2992
10/03/2008,3002
10/02/2008,2990
10/01/2008,3025
09/30/2008,3217
09/29/2008,3504
09/26/2008,3746
09/25/2008,4163
09/24/2008,4489
09/23/2008,4782
09/22/2008,4949
09/19/2008,4975
09/18/2008,4958
09/17/2008,4856
09/16/2008,4760
09/15/2008,4747
09/12/2008,4800
09/11/2008,4893
09/10/2008,5026
09/09/2008,5255
09/08/2008,5492
09/05/2008,5663
09/04/2008,5874
09/03/2008,6146
09/02/2008,6466
09/01/2008,6691
08/29/2008,6809
08/28/2008,6929
08/27/2008,7050
08/26/2008,7115
08/22/2008,7147
08/21/2008,7190
08/20/2008,7344
08/19/2008,7543
08/18/2008,7622
08/15/2008,7557
08/14/2008,7420
08/13/2008,7097
08/12/2008,6992
08/11/2008,7055
08/08/2008,7201
08/07/2008,7521
08/06/2008,7869
08/05/2008,8100
08/04/2008,8209
08/01/2008,8280
07/31/2008,8341
07/30/2008,8388
07/29/2008,8434
07/28/2008,8513
07/25/2008,8637
07/24/2008,8771
07/23/2008,8856
07/22/2008,8904
07/21/2008,8961
07/18/2008,9012
07/17/2008,9059
07/16/2008,9092
07/15/2008,9150
07/14/2008,9181
07/11/2008,9230
07/10/2008,9313
07/09/2008,9272
07/08/2008,9147
07/07/2008,8964
07/04/2008,8854
07/03/2008,8925
07/02/2008,9139
07/01/2008,9379
06/30/2008,9589
06/27/2008,9599
06/26/2008,9473
06/25/2008,9244
06/24/2008,9139
06/23/2008,9211
06/20/2008,9428
06/19/2008,9474
06/18/2008,9437
06/17/2008,9413
06/16/2008,9419
06/13/2008,9646
06/12/2008,10142
06/11/2008,11105
06/10/2008,11409
06/09/2008,11534
06/06/2008,11612
06/05/2008,11689
06/04/2008,11623
06/03/2008,11503
06/02/2008,11458
05/30/2008,11440
05/29/2008,11347
05/28/2008,11245
05/27/2008,11269
05/23/2008,11465
05/22/2008,11648
05/21/2008,11771
05/20/2008,11793
05/19/2008,11709
05/16/2008,11459
05/15/2008,11067
05/14/2008,10649
05/13/2008,10354
05/12/2008,10220
05/09/2008,10237
05/08/2008,10221
05/07/2008,10104
05/06/2008,9855
05/02/2008,9581
05/01/2008,9439
04/30/2008,9356
04/29/2008,9273
04/28/2008,9344
04/25/2008,9329
04/24/2008,9182
04/23/2008,8862
04/22/2008,8550
04/21/2008,8350
04/18/2008,8203
04/17/2008,8038
04/16/2008,7967
04/15/2008,7957
04/14/2008,7961
04/11/2008,7889
04/10/2008,7823
04/09/2008,7760
04/08/2008,7754
04/07/2008,7741
04/04/2008,7737
04/03/2008,7690
04/02/2008,7655
04/01/2008,7890
03/31/2008,8081
03/28/2008,8069
03/27/2008,7884
03/26/2008,7679
03/25/2008,7619
03/20/2008,7684
03/19/2008,7801
03/18/2008,7893
03/17/2008,7913
03/14/2008,7972
03/13/2008,8092
03/12/2008,8346
03/11/2008,8560
03/10/2008,8624
03/07/2008,8536
03/06/2008,8403
03/05/2008,8162
03/04/2008,7993
03/03/2008,7878
02/29/2008,7613
02/28/2008,7332
02/27/2008,7299
02/26/2008,7312
02/25/2008,7296
02/22/2008,7187
02/21/2008,6998
02/20/2008,7081
02/19/2008,7319
02/18/2008,7381
02/15/2008,7355
02/14/2008,7212
02/13/2008,6965
02/12/2008,6712
02/11/2008,6520
02/08/2008,6353
02/07/2008,6135
02/06/2008,6002
02/05/2008,6032
02/04/2008,6121
02/01/2008,6134
01/31/2008,6052
01/30/2008,5900
01/29/2008,5615
01/28/2008,5692
01/25/2008,5780
01/24/2008,5948
01/23/2008,6246
01/22/2008,6437
01/21/2008,6513
01/18/2008,6462
01/17/2008,6472
01/16/2008,6915
01/15/2008,7336
01/14/2008,7654
01/11/2008,7949
01/10/2008,8333
01/09/2008,8621
01/08/2008,8730
01/07/2008,8732
01/04/2008,8702
01/03/2008,8756
01/02/2008,8891
12/24/2007,9143
12/21/2007,9236
12/20/2007,9392
12/19/2007,9591
12/18/2007,9751
12/17/2007,9848
12/14/2007,9918
12/13/2007,9949
12/12/2007,9936
12/11/2007,9929
12/10/2007,9992
12/07/2007,10068
12/06/2007,10142
12/05/2007,10216
12/04/2007,10285
12/03/2007,10270
