Date,Value
03/03/2023,1211
03/02/2023,1145
03/01/2023,1099
02/28/2023,990
02/27/2023,935
02/24/2023,883
02/23/2023,816
02/22/2023,674
02/21/2023,594
02/20/2023,552
02/17/2023,538
02/16/2023,530
02/15/2023,541
02/14/2023,563
02/13/2023,616
02/10/2023,602
02/09/2023,592
02/08/2023,603
02/07/2023,601
02/06/2023,608
02/03/2023,621
02/02/2023,640
02/01/2023,668
01/31/2023,681
01/30/2023,680
01/27/2023,676
01/26/2023,677
01/25/2023,703
01/24/2023,721
01/23/2023,740
01/20/2023,763
01/19/2023,801
01/18/2023,874
01/17/2023,921
01/16/2023,946
01/13/2023,946
01/12/2023,976
01/11/2023,1043
01/10/2023,1096
01/09/2023,1139
01/06/2023,1130
01/05/2023,1146
01/04/2023,1176
01/03/2023,1250
12/23/2022,1515
12/22/2022,1650
12/21/2022,1723
12/20/2022,1596
12/19/2022,1548
12/16/2022,1560
12/15/2022,1528
12/14/2022,1401
12/13/2022,1357
12/12/2022,1361
12/09/2022,1386
12/08/2022,1385
12/07/2022,1373
12/06/2022,1340
12/05/2022,1323
12/02/2022,1324
12/01/2022,1338
11/30/2022,1355
11/29/2022,1327
11/28/2022,1347
11/25/2022,1324
11/24/2022,1242
11/23/2022,1184
11/22/2022,1149
11/21/2022,1177
11/18/2022,1189
11/17/2022,1228
11/16/2022,1288
11/15/2022,1300
11/14/2022,1325
11/11/2022,1355
11/10/2022,1390
11/09/2022,1393
11/08/2022,1356
11/07/2022,1337
11/04/2022,1323
11/03/2022,1290
11/02/2022,1321
11/01/2022,1377
10/31/2022,1463
10/28/2022,1534
10/27/2022,1612
10/26/2022,1706
10/25/2022,1755
10/24/2022,1797
10/21/2022,1819
10/20/2022,1837
10/19/2022,1871
10/18/2022,1875
10/17/2022,1843
10/14/2022,1838
10/13/2022,1818
10/12/2022,1873
10/11/2022,1904
10/10/2022,1944
10/07/2022,1961
10/06/2022,1992
10/05/2022,1996
10/04/2022,1865
10/03/2022,1788
09/30/2022,1760
09/29/2022,1757
09/28/2022,1799
09/27/2022,1807
09/26/2022,1813
09/23/2022,1816
09/22/2022,1720
09/21/2022,1746
09/20/2022,1729
09/16/2022,1553
09/15/2022,1612
09/14/2022,1595
09/13/2022,1408
09/12/2022,1256
09/09/2022,1213
09/08/2022,1178
09/07/2022,1133
09/06/2022,1114
09/05/2022,1133
09/02/2022,1086
09/01/2022,1002
08/31/2022,965
08/30/2022,1017
08/26/2022,1082
08/25/2022,1123
08/24/2022,1213
08/23/2022,1271
08/22/2022,1270
08/19/2022,1279
08/18/2022,1320
08/17/2022,1394
08/16/2022,1387
08/15/2022,1404
08/12/2022,1477
08/11/2022,1556
08/10/2022,1592
08/09/2022,1564
08/08/2022,1566
08/05/2022,1560
08/04/2022,1603
08/03/2022,1731
08/02/2022,1817
08/01/2022,1872
07/29/2022,1895
07/28/2022,1945
07/27/2022,2007
07/26/2022,2061
07/25/2022,2114
07/22/2022,2146
07/21/2022,2118
07/20/2022,2113
07/19/2022,2145
07/18/2022,2162
07/15/2022,2150
07/14/2022,2010
07/13/2022,2002
07/12/2022,2013
07/11/2022,2081
07/08/2022,2067
07/07/2022,2073
07/06/2022,2043
07/05/2022,2098
07/04/2022,2159
07/01/2022,2214
06/30/2022,2240
06/29/2022,2186
06/28/2022,2204
06/27/2022,2295
06/24/2022,2331
06/23/2022,2354
06/22/2022,2349
06/21/2022,2484
06/20/2022,2596
06/17/2022,2578
06/16/2022,2462
06/15/2022,2387
06/14/2022,2284
06/13/2022,2260
06/10/2022,2320
06/09/2022,2342
06/08/2022,2410
06/07/2022,2514
06/06/2022,2560
06/01/2022,2633
05/31/2022,2566
05/30/2022,2571
05/27/2022,2681
05/26/2022,2933
05/25/2022,3127
05/24/2022,3253
05/23/2022,3369
05/20/2022,3344
05/19/2022,3289
05/18/2022,3189
05/17/2022,3095
05/16/2022,3085
05/13/2022,3104
05/12/2022,3117
05/11/2022,3052
05/10/2022,2939
05/09/2022,2831
05/06/2022,2718
05/05/2022,2644
05/04/2022,2485
05/03/2022,2412
04/29/2022,2404
04/28/2022,2403
04/27/2022,2425
04/26/2022,2404
04/25/2022,2356
04/22/2022,2307
04/21/2022,2239
04/20/2022,2142
04/19/2022,2115
04/14/2022,2137
04/13/2022,2068
04/12/2022,2035
04/11/2022,2031
04/08/2022,2055
04/07/2022,2061
04/06/2022,2128
04/05/2022,2213
04/04/2022,2307
04/01/2022,2357
03/31/2022,2358
03/30/2022,2369
03/29/2022,2417
03/28/2022,2484
03/25/2022,2544
03/24/2022,2567
03/23/2022,2575
03/22/2022,2546
03/21/2022,2589
03/18/2022,2605
03/17/2022,2588
03/16/2022,2591
03/15/2022,2689
03/14/2022,2727
03/11/2022,2718
03/10/2022,2704
03/09/2022,2558
03/08/2022,2352
03/07/2022,2235
03/04/2022,2148
03/03/2022,2104
03/02/2022,2137
03/01/2022,2069
02/28/2022,2040
02/25/2022,2076
02/24/2022,2187
02/23/2022,2244
02/22/2022,2148
02/21/2022,2045
02/18/2022,1964
02/17/2022,1886
02/16/2022,1896
02/15/2022,1968
02/14/2022,1984
02/11/2022,1977
02/10/2022,1940
02/09/2022,1711
02/08/2022,1503
02/07/2022,1422
02/04/2022,1423
02/03/2022,1425
02/02/2022,1419
02/01/2022,1440
01/31/2022,1418
01/28/2022,1381
01/27/2022,1302
01/26/2022,1296
01/25/2022,1343
01/24/2022,1391
01/21/2022,1415
01/20/2022,1474
01/19/2022,1570
01/18/2022,1644
01/17/2022,1731
01/14/2022,1764
01/13/2022,1873
01/12/2022,2027
01/11/2022,2151
01/10/2022,2277
01/07/2022,2289
01/06/2022,2296
01/05/2022,2289
01/04/2022,2285
12/24/2021,2217
12/23/2021,2219
12/22/2021,2229
12/21/2021,2294
12/20/2021,2371
12/17/2021,2379
12/16/2021,2498
12/15/2021,2665
12/14/2021,2932
12/13/2021,3216
12/10/2021,3272
12/09/2021,3343
12/08/2021,3423
12/07/2021,3352
12/06/2021,3235
12/03/2021,3171
12/02/2021,3115
12/01/2021,3047
11/30/2021,3018
11/29/2021,2881
11/26/2021,2767
11/25/2021,2678
11/24/2021,2654
11/23/2021,2715
11/22/2021,2645
11/19/2021,2552
11/18/2021,2454
11/17/2021,2430
11/16/2021,2591
11/15/2021,2759
11/12/2021,2807
11/11/2021,2844
11/10/2021,2861
11/09/2021,2805
11/08/2021,2718
11/05/2021,2715
11/04/2021,2769
11/03/2021,2892
11/02/2021,3187
11/01/2021,3428
10/29/2021,3519
10/28/2021,3630
10/27/2021,3808
10/26/2021,4056
10/25/2021,4257
10/22/2021,4410
10/21/2021,4653
10/20/2021,4751
10/19/2021,4714
10/18/2021,4732
10/15/2021,4854
10/14/2021,5062
10/13/2021,5206
10/12/2021,5378
10/11/2021,5488
10/08/2021,5526
10/07/2021,5650
10/06/2021,5647
10/05/2021,5409
10/04/2021,5267
10/01/2021,5202
09/30/2021,5167
09/29/2021,5197
09/28/2021,4962
09/27/2021,4717
09/24/2021,4644
09/23/2021,4651
09/22/2021,4560
09/21/2021,4410
09/20/2021,4304
09/17/2021,4275
09/16/2021,4215
09/15/2021,4233
09/14/2021,4221
09/13/2021,4163
09/10/2021,3864
09/09/2021,3643
